place_name,street_address,address_number,city,zipcode,gmaps_url,latitude,longitude,places_url,record_created,short_description,alternate_names,date_built,date_notes,extant,place_type,architect_name,building_use,wikipedia_url,architectural_style,place_count,explore_id,explore_duplicate,chap_landmark,builder_name,inventory_relation,location_check_needed,date_razed,issue_url,street_name,neighborhood,osm_query,osm_flickr_tag_type,osm_flickr_tag_id,flickr_osm_url,source,extra_data,legislative_district,short_description_state,related_issue_url,featured,zoning_id,geo_accuracy,mihpno_district,mihp_district_name,mihp_historic_district,mihp_survey_district,housing_market_typology,chap_district,explore_url,county,state,full_address,congressional_district,council_district,source_url,official_url,interior_area_sf,lot_size_sf,nr_landmark,nr_district,NHL_designation,address_listed,lot,block,ownership_type,owner_address,owner_name,marker_symbol,slug,issue_type,sort_date,year_start,image_url,year_end,image_note,image_source,image_caption,developer_name,explore_url_show,editorial_state,development_state,unoccupied,streetview_url,streetview_image_url,religious_association,date_established,date_closed,lat_core,long_core,mihp_individual_good,events
Harris Creek,,,Baltimore,21224,"https://www.google.com/maps/place/, Baltimore, MD",39.27982566,-76.57972813,,2017-05-03 3:38pm,,,,,,Landscape,,,,,,188,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.27982566&lon=-76.57972813#map=19/39.27982566/-76.57972813,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/188,Baltimore City,MD,"Boston Street Pier Park, Baltimore, MD 21224",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Harry Davis Barber Shop,1404 Laurens Street,1404,Baltimore,,"https://www.google.com/maps/place/1404 Laurens Street, Baltimore, MD",39.30350090,-76.64074690,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1227,,,,,,http://www.openstreetmap.org/query?lat=39.3035009&lon=-76.6407469#map=19/39.3035009/-76.6407469,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Sythe Cummings House,1318 Druid Hill Avenue,1318,Baltimore,21217,"https://www.google.com/maps/place/1318 Druid Hill Avenue, Baltimore, MD",39.30216400,-76.62914200,,2017-05-02 11:15pm,,,c. 1870,,T,Building,,Dwelling,,,,528,,,,,,,,,Upton,http://www.openstreetmap.org/query?lat=39.302164&lon=-76.629142#map=19/39.302164/-76.629142,,,,Historic Resource Watchlist,T,44,on-explore,http://baltimoreheritage.org/issue/civil-rights-heritage-threatened/,T,719,9,B-1373,Old West Baltimore Historic District,checked,,D - Middle Market,Upton's Marble Hill,https://explore.baltimoreheritage.org/items/show/528,Baltimore City,MD,"1318 Druid Hill Avenue Baltimore, MD 21217",7TH,11,,,2262,,,Old West Baltimore Historic District,,checked,4,396,,"3339 CHARLESTON ST, HOUSTON TX 77021-1126",HINES JANICE STANTON,building,,Neglect,,,http://i2.wp.com/baltimoreheritage.org/wp-content/uploads/2015/11/P1010049.jpg,,,,,,checked,,,Y,"https://maps.google.com/?layer=c&cbll=39.302164,-76.629142","https://maps.googleapis.com/maps/api/streetview?location=39.302164,-76.629142&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.263820,-1.180430,,
Harver-Dukehart House,1224 North Stricker Street,1224,Baltimore,,"https://www.google.com/maps/place/1224 North Stricker Street, Baltimore, MD",39.30304600,-76.64205600,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md1224,,,,,,http://www.openstreetmap.org/query?lat=39.303046&lon=-76.642056#map=19/39.303046/-76.642056,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven Street Factory,101 North Haven Street,101,Baltimore,,"https://www.google.com/maps/place/101 North Haven Street, Baltimore, MD",39.28025186,-76.57373077,,2017-05-03 12:11pm,,,,,T,Building,,Industrial building,,,1,,,checked,,chap:184,,,,N. Haven Street,,http://www.openstreetmap.org/query?lat=39.28025186&lon=-76.57373077#map=19/39.28025186/-76.57373077,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Education Resource Organization (HERO),,101,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.29942680,-76.61752650,,2017-05-03 3:38pm,,,,,T,Building,,,,,,555,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2994268&lon=-76.6175265#map=19/39.2994268/-76.6175265,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/555,Baltimore City,MD,"101 W. Read Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Hebrew Cemetery,6820 German Hill Road,6820,Baltimore,21222,"https://www.google.com/maps/place/6820 German Hill Road, Baltimore, MD",39.28185800,-76.53157100,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.281858&lon=-76.531571#map=19/39.281858/-76.531571,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew Friendship Cemetery,3600 E. Baltimore Street,3600,Baltimore,21224,"https://www.google.com/maps/place/3600 E. Baltimore Street, Baltimore, MD",39.29366900,-76.56668100,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.293669&lon=-76.566681#map=19/39.293669/-76.566681,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judaism,,,,,,
Hebrew Mt. Carmel -Tzemach Tzedek,6800 German Hill Road,6800,Baltimore,,"https://www.google.com/maps/place/6800 German Hill Road, Baltimore, MD",39.28128700,-76.53232700,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.281287&lon=-76.532327#map=19/39.281287/-76.532327,,,,Baltimore Cemetery Inventory,,,,,,,8,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hebrew Orphan Asylum,2700 Rayner Avenue,2700,Baltimore,21216,"https://www.google.com/maps/place/2700 Rayner Avenue, Baltimore, MD",39.29661634,-76.66238308,,2017-05-02 11:15pm,Baltimore Heritage is currently working in partnership with the Coppin Heights CDC and Coppin State University to preserve and plan the rehabilitation of the Hebrew Orphan Asylum Building. The CDC has taken possession of the building with the intention of turning it into the  Center for Health Care and Healthy Living.,,1876,,T,Building,"Edward Lupus,Henry Albert Roby",Institutional dwelling,"http://en.wikipedia.org/wiki/Hebrew_Orphan_Asylum_(Baltimore,_Maryland)",,1,111,,,,,,,http://baltimoreheritage.org/issue/hebrew-orphan-asylum/,,Mosher,http://www.openstreetmap.org/query?lat=39.29661634&lon=-76.66238308#map=19/39.29661634/-76.66238308,way,255161399,https://www.flickr.com/photos/tags/osm:way=255161399,Historic Resource Watchlist,T,44,,,T,748,8,,,,,City/Public/Private,,https://explore.baltimoreheritage.org/items/show/111,Baltimore City,MD,"2700 Rayner Avenue Baltimore, MD 21216",7TH,9,,,,,checked,,,checked,,,Public/State,,Coppin State University,town-hall,hebrew-orphan-asylum,Lack of Funding,,,https://c1.staticflickr.com/5/4152/4960454233_b975a6249b_b.jpg,,,,,,checked,Out of Date/Inaccurate,Seeking Financing for Development,Y,"https://maps.google.com/?layer=c&cbll=39.296389,-76.661504","https://maps.googleapis.com/maps/api/streetview?location=39.296389,-76.661504&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.686320,-4.416630,B-5180,
Hecht Company Building,118 N. Howard Street,118 ,Baltimore,21201,"https://www.google.com/maps/place/118 N. Howard Street, Baltimore, MD",39.29181344,-76.61992835,,2017-05-03 12:11pm,"The Hecht Company building illustrates the importance and influence of early-to-mid 20th-century commercial and retail activity in Baltimore. The building exemplifies how architecture accommodated the evolution of department store commerce. The Hecht Company building weaves together the history of three major department store companies: the Bernheimer-Leader Store, the Hecht Company and the May Company. Designed by Wilson Levering Smith and Howard May, the building at 118 N. Howard Street was built for the Bernheimer-Leader Store in 1924. In 1927, the building was sold to the May Company, a Midwest retailer. In 1958, the May Company merged with the Hecht Company which remodeled the building in 1959 and 1960. By 1985, the Hecht Company downsized the store and added three floors of office space. Several years later the Hecht Company permanently closed their downtown location. The Hecht Company has been converted into apartments. ",,1924,,T,Building,"Smith & May,Wilson Levering Smith,Howard May",,,Commercial,1,112,checked,checked,,chap:103,,,,N. Howard Street,,http://www.openstreetmap.org/query?lat=39.29181344&lon=-76.61992835#map=19/39.29181344/-76.61992835,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/112,Baltimore City,MD,,,,,,,,,Market Center Historic District,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hecht-May Company,,118,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.29124902,-76.61990762,,2017-05-03 3:38pm,,,,,T,Building,,,,,,112,checked,,,,,,,,,http://www.openstreetmap.org/query?lat=39.29124902&lon=-76.61990762#map=19/39.29124902/-76.61990762,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/112,Baltimore City,MD,"118 N. Howard Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Helen Mackall Park,,,Baltimore,21216,"https://www.google.com/maps/place/, Baltimore, MD",39.29559470,-76.65986110,,2017-05-03 3:38pm,,,,,T,Landscape,,,,,,295,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2955947&lon=-76.6598611#map=19/39.2955947/-76.6598611,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/295,Baltimore City,MD,"Helen Mackall Park, Baltimore, MD 21216",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Hendler Creamery Company,1100 E. Baltimore Street,1100,Baltimore,21202,"https://www.google.com/maps/place/1100 E. Baltimore Street, Baltimore, MD",39.29107200,-76.60211500,,2017-05-02 11:15pm,,,1892,,T,Building,Jackson C. Gott,,https://en.wikipedia.org/wiki/Hendler_Creamery,,,371,,,,,,,,,Jonestown,http://www.openstreetmap.org/query?lat=39.291072&lon=-76.602115#map=19/39.291072/-76.602115,way,336325541,https://www.flickr.com/photos/tags/osm:way=336325541,Historic Resource Watchlist,T,46,on-explore,,null,966,9,,,,,Commercial,Jonestown,https://explore.baltimoreheritage.org/items/show/371,Baltimore City,MD,"1100 E. Baltimore Street Baltimore, MD 21202",7TH,12,,,,,,,,checked,,,Private,,,industrial,,Lack of Funding,,,https://c2.staticflickr.com/2/1502/24374246726_a6236050f8_b.jpg,,,,,,checked,,,Y,"https://maps.google.com/?layer=c&cbll=39.291072,-76.602115","https://maps.googleapis.com/maps/api/streetview?location=39.291072,-76.602115&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.154620,1.522270,,
"Henry Knott, Sr. Residence",6101 Gentry Lane,6101,Baltimore,21210,"https://www.google.com/maps/place/6101 Gentry Lane, Baltimore, MD",39.37564940,-76.63743790,,2017-05-02 11:15pm,,,c. 1952,,?,,Alexander Cochran-inspired?,Dwelling,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3756494&lon=-76.6374379#map=19/39.3756494/-76.6374379,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"6101 Gentry Lane, Baltimore, MD 21210",,,,,,,,,,checked,,,,,,,,,1952,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3756494,-76.6374379","https://maps.googleapis.com/maps/api/streetview?location=39.3756494,-76.6374379&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,8.612360,-2.010020,,
Herbert R. O'Conor Building / State Office Building #4,201 W Preston Street,201,Baltimore,21201,"https://www.google.com/maps/place/201 W Preston Street, Baltimore, MD",39.30200600,-76.62127900,,2017-05-02 11:15pm,,,1974,,T,,Meyer Ayers Saint Stewart,Offices,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.302006&lon=-76.621279#map=19/39.302006/-76.621279,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"201 W Preston Street, Baltimore, MD 21201",,,,,,,,,,checked,,,,,,,,,1974,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.302006,-76.621279","https://maps.googleapis.com/maps/api/streetview?location=39.302006,-76.621279&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.248020,-0.394130,,
Hereford High School,17301 York Road,17301,Baltimore,21120,"https://www.google.com/maps/place/17301 York Road, Baltimore, MD",39.59930200,-76.65958400,,2017-05-02 11:15pm,,,,,T,Building,,School,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.599302&lon=-76.659584#map=19/39.599302/-76.659584,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"17301 York Road, Baltimore, MD 21120",,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.599302,-76.659584","https://maps.googleapis.com/maps/api/streetview?location=39.599302,-76.659584&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,30.977620,-4.224630,,
Heritage Building,100 E. North Avenue,100,Baltimore,21202,"https://www.google.com/maps/place/100 E. North Avenue, Baltimore, MD",39.31133700,-76.61495610,,2017-07-06 3:56pm,,,1929,,T,Building,Clyde N. Friz,"Commercial building,Bank",,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.311337&lon=-76.6149561#map=19/39.311337/-76.6149561,,,,,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herman's Bakery & Catering,7560 Holabird Avenue,7560,Dundalk,21222,"https://www.google.com/maps/place/7560 Holabird Avenue, Dundalk, MD",39.27109890,-76.50411180,,2017-07-08 9:17pm,,,,,T,Building,,,,,,,,,,,,,,Holabird Avenue,,http://www.openstreetmap.org/query?lat=39.2710989&lon=-76.5041118#map=19/39.2710989/-76.5041118,,,,,,,,,,,,,,,,,,,Baltimore County,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High's Dairy (?),2700 Loch Raven Road,2700,Baltimore,21218,"https://www.google.com/maps/place/2700 Loch Raven Road, Baltimore, MD",39.32044030,-76.60731600,,2017-05-02 11:15pm,,,,,T,Building,,Industrial building/Offices,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3204403&lon=-76.607316#map=19/39.3204403/-76.607316,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"2700 Loch Raven Road, Baltimore, MD 21218",,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.3204403,-76.607316","https://maps.googleapis.com/maps/api/streetview?location=39.3204403,-76.607316&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,3.091450,1.002170,,
Highfield House,Charles Street,,Baltimore,21218,"https://www.google.com/maps/place/Charles Street, Baltimore, MD",39.33825820,-76.61885280,,2017-05-03 3:38pm,,,,,T,Building,,Multi-family dwelling,,,,517,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3382582&lon=-76.6188528#map=19/39.3382582/-76.6188528,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/517,Baltimore City,MD,"4000 North Charles Street, Baltimore, MD 21218",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Highfield House Condominiums,4000 North Charles Street,4000,Baltimore,21218,"https://www.google.com/maps/place/4000 North Charles Street, Baltimore, MD",39.33812800,-76.61879400,,2017-05-02 11:15pm,,Highfield House,1964,,T,Building,Mies Van der Rohe,Multi-family dwelling,https://en.wikipedia.org/wiki/Highfield_House_Condominium,Modernist,,,,,,habs:md1636,,,,,,http://www.openstreetmap.org/query?lat=39.338128&lon=-76.618794#map=19/39.338128/-76.618794,way,117438522,https://www.flickr.com/photos/tags/osm:way=117438522,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"4000 North Charles Street, Baltimore, MD 21218",,,http://www.ce.jhu.edu/baltimorestructures/Index.php?location=Highfield%20House%20Condominiums,,,,,,,checked,,,,,,,,,1964,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.338128,-76.618794","https://maps.googleapis.com/maps/api/streetview?location=39.338128,-76.618794&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,4.860220,-0.145630,,
Hill Field House,1700 East Coldspring Lane,1700,Baltimore,21251,"https://www.google.com/maps/place/1700 East Coldspring Lane, Baltimore, MD",39.34737600,-76.58478300,,2017-05-02 11:15pm,,,1974,,T,Building,,Gymnasium,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.347376&lon=-76.584783#map=19/39.347376/-76.584783,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"1700 East Coldspring Lane, Baltimore, MD 21251",,,,,,,,,,checked,,,,,,,,,1974,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.347376,-76.584783","https://maps.googleapis.com/maps/api/streetview?location=39.347376,-76.584783&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,5.785020,3.255470,,
Hilton Parkway,,,Baltimore,21229,"https://www.google.com/maps/place/, Baltimore, MD",39.29842594,-76.67392731,,2017-05-03 3:38pm,,,,,T,Road,,,,,,300,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.29842594&lon=-76.67392731#map=19/39.29842594/-76.67392731,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/300,Baltimore City,MD,"Hilton Parkway, Baltimore, MD 21229",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-4620,
Hippodrome Theatre,,12,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.28991280,-76.62115753,,2017-05-03 3:38pm,,,1914,,T,Building,Thomas W. Lamb,Theatre,"https://en.wikipedia.org/wiki/Hippodrome_Theatre_(Baltimore,_Maryland)",,,125,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2899128&lon=-76.62115753#map=19/39.2899128/-76.62115753,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/125,Baltimore City,MD,"12 N. Eutaw Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-2338,
Historic Frederick Douglass High School,1645 North Calhoun Street,1645,Baltimore,,"https://www.google.com/maps/place/1645 North Calhoun Street, Baltimore, MD",39.30775161,-76.64233397,,2017-05-03 12:11pm,,,1880s; 1924,,T,Building,Architect Unknown; Spencer E. Sisco,,,Collegiate Gothic Revival,1,,,checked,,chap:174,,,,North Calhoun Street,,http://www.openstreetmap.org/query?lat=39.30775161&lon=-76.64233397#map=19/39.30775161/-76.64233397,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,checked,Old West Baltimore Historic District,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hochschild Kohn Warehouse at 520 Park Avenue,520 Park Avenue,,Baltimore,21201,"https://www.google.com/maps/place/520 Park Avenue, Baltimore, MD",39.29582880,-76.61889120,,2017-05-03 3:38pm,,,,,T,Building,,,,,,403,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2958288&lon=-76.6188912#map=19/39.2958288/-76.6188912,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/403,Baltimore City,MD,"520 Park Avenue, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Hoen Lithograph Building,2101 E. Biddle Street,2101,Baltimore,21213,"https://www.google.com/maps/place/2101 E. Biddle Street, Baltimore, MD",39.30402360,-76.58786690,,2017-05-02 11:15pm,This building was advertised for development through the Vacants to Value Surplus Property Sale.,A. Hoen & Company Lithography Plant,1902,,T,Building,,Industrial building,,,,398,,,,,,,,,Middle East,http://www.openstreetmap.org/query?lat=39.3040236&lon=-76.5878669#map=19/39.3040236/-76.5878669,,,,Historic Resource Watchlist,T,45,,,null,804,9,B-5077,Baltimore East/South Clifton Park Historic District,checked,,Non-Residential,,https://explore.baltimoreheritage.org/items/show/398,Baltimore City,MD,"2101 E. Biddle Street Baltimore, MD 21213",7TH,13,,,,,,Baltimore East/South Clifton Park Historic District,,checked,,,Public/City,,,industrial,,Lack of Funding,,,,,,,,,checked,Draft Required,,Y,"https://maps.google.com/?layer=c&cbll=39.304024,-76.587867","https://maps.googleapis.com/maps/api/streetview?location=39.304024,-76.587867&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.449820,2.947070,,
Hollander Ridge,Pulaski Highway,,Baltimore,,"https://www.google.com/maps/place/Pulaski Highway, Baltimore, MD",39.31058400,-76.52944400,,2017-05-02 11:15pm,,,,,T,Building,,Senior Apartments,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.310584&lon=-76.529444#map=19/39.310584/-76.529444,,,,Baltimore Modernism Inventory,,,,,,,street,,,,,,,,Baltimore City,MD,"Pulaski Highway, Baltimore, MD ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.310584,-76.529444","https://maps.googleapis.com/maps/api/streetview?location=39.310584,-76.529444&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,2.105820,8.789370,,
Hollingsworth-Steel House,931 Fell Street,931,Baltimore,,"https://www.google.com/maps/place/931 Fell Street, Baltimore, MD",39.28128900,-76.58993400,,2017-05-03 12:55pm,,,,,,,,,,,,,,,,habs:md0099,,,,,,http://www.openstreetmap.org/query?lat=39.281289&lon=-76.589934#map=19/39.281289/-76.589934,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollins Market,,26,Baltimore,21223,"https://www.google.com/maps/place/, Baltimore, MD",39.28752040,-76.63597190,,2017-05-03 3:38pm,,,,,T,,,,https://en.wikipedia.org/wiki/Hollins_Market,,,408,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2875204&lon=-76.6359719#map=19/39.2875204/-76.6359719,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/408,Baltimore City,MD,"26 S. Arlington Avenue, Baltimore, MD 21223",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-39,
Holy Cross Cemetery,6020 Governor Ritchie Highway,6020,Baltimore,,"https://www.google.com/maps/place/6020 Governor Ritchie Highway, Baltimore, MD",39.20991400,-76.61493000,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.209914&lon=-76.61493#map=19/39.209914/-76.61493,,,,Baltimore Cemetery Inventory,,,,,,,8,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross Cemetery (DEFUNCT),Harford Road and Broadway,,Baltimore,21218,"https://www.google.com/maps/place/Harford Road and Broadway, Baltimore, MD",39.31429500,-76.59788700,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,checked,,,,,http://www.openstreetmap.org/query?lat=39.314295&lon=-76.597887#map=19/39.314295/-76.597887,,,,Baltimore Cemetery Inventory,,,,,,,3,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Rosary Cemetery,7300 German Hill Road,7300,Baltimore,,"https://www.google.com/maps/place/7300 German Hill Road, Baltimore, MD",39.28303800,-76.51754300,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.283038&lon=-76.517543#map=19/39.283038/-76.517543,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home of the Friendless/Druid Health Center,1313 Druid Hill Avenue,1313,Baltimore,21217,"https://www.google.com/maps/place/1313 Druid Hill Avenue, Baltimore, MD",39.30244220,-76.62871290,,2017-05-02 11:15pm,This building was advertised for development through the Vacants to Value Surplus Property Sale.,,1870,,T,Building,,"Institutional dwelling,Health care facility","https://en.wikipedia.org/wiki/Home_of_the_Friendless_(Baltimore,_Maryland)",,,454,,,,,,,http://baltimoreheritage.org/issue/home-friendlessdruid-health-center/,,Upton,http://www.openstreetmap.org/query?lat=39.3024422&lon=-76.6287129#map=19/39.3024422/-76.6287129,way,336396939,https://www.flickr.com/photos/tags/osm:way=336396939,Historic Resource Watchlist,T,44,,,F,719,9,B-1373,Old West Baltimore Historic District,checked,,D - Middle Market,,https://explore.baltimoreheritage.org/items/show/454,Baltimore City,MD,"1313 Druid Hill Avenue Baltimore, MD 21217",7TH,11,,,,,,Old West Baltimore Historic District,,checked,,,Public/City,,Mayor and City Council of Baltimore,commercial,,Neglect,,,http://explore.baltimoreheritage.org/files/original/5ec08725330711a774f0d4dbe89fbc1d.JPG,,,,,,checked,Draft Required,Awarded for Development,Y,"https://maps.google.com/?layer=c&cbll=39.302442,-76.628713","https://maps.googleapis.com/maps/api/streetview?location=39.302442,-76.628713&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.291620,-1.137530,,
Homewood Avenue (2100 block),2100 block of Homewood Avenue,2100,Baltimore,21218,"https://www.google.com/maps/place/2100 block of Homewood Avenue, Baltimore, MD",39.31399100,-76.60762200,,2017-05-02 11:15pm,,,,,T,Block,,,,,,,,,,,,,,,East Baltimore Midway,http://www.openstreetmap.org/query?lat=39.313991&lon=-76.607622#map=19/39.313991/-76.607622,,,,Historic Resource Watchlist,T,43,missing,,null,590,9,,,,,H - Stressed,,,Baltimore City,MD,"2100 block of Homewood Avenue Baltimore, MD 21218",7TH,12,,,,,,,,checked,,,,,,village,,Neglect,,,,,,,,,,,,null,"https://maps.google.com/?layer=c&cbll=39.313991,-76.607622","https://maps.googleapis.com/maps/api/streetview?location=39.313991,-76.607622&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,2.446520,0.971570,,
